Ucoluk, Gokturk ==> 2.56494208494e-05
Enright, Jessica ==> 2.01240675132e-05
Ph&#x1B0;&#x1A1;ng, L&#xEA; H&#x1ED3;ng ==> 2.65787165065e-05
Huang, Yu-Fen ==> 2.11735278845e-05
Khudanpur, Sanjeev P. ==> 0.000571528580435
D&eacute;bowski, &#x141;ukasz ==> 5.63659240501e-05
Bensley, Jeremy ==> 4.85161639607e-05
Vilkuna, Maria ==> 1.8251126681e-05
Huang, Sheng-Jie ==> 7.29884186385e-05
Neto, Jo&atilde;o Paulo ==> 2.04191907035e-05
Lampouras, Gerasimos ==> 3.34117713592e-05
Lewis, Richard L. ==> 1.36115000116e-05
Rock, Sheila ==> 1.74481777165e-05
Kouylekov, Milen ==> 8.00870946082e-05
Wen-Xin, Wang ==> 2.93471720035e-05
Esposito, Joseph ==> 1.36414870137e-05
Harada, Ken'ichi ==> 1.73794466357e-05
Athar, Awais ==> 4.84869027022e-05
Moreira, Viviane ==> 2.91048204225e-05
Gan, Kok Wee ==> 3.3065353805e-05
Engelbrecht, Klaus-Peter ==> 2.77168103695e-05
Diaz, JosuKa ==> 2.00318163064e-05
Poornima, Shakthi ==> 4.73280133491e-05
Abbott, Rob ==> 5.93666580005e-05
K. V., Subbarao ==> 1.52828397281e-05
Wiren, Mats ==> 0.000152270386626
Qiu, Xin Ying ==> 4.33444148694e-05
Bethard, Steven ==> 0.000144343235392
Chang, Echa ==> 2.18642370981e-05
Datskovsky Moerdler, Galina ==> 1.61761441379e-05
Mohammad, Saif ==> 0.000303727367736
Thomas, Philippe ==> 2.66957903741e-05
Baldewein, Ulrike ==> 4.45676040127e-05
Davis, Brian ==> 2.33974342793e-05
Tyndall, Stephen ==> 2.89314164708e-05
Catizone, Roberta ==> 5.29434725427e-05
Wu, Chung-Hsien ==> 0.000106901634569
Ligozat, Anne-Laure ==> 1.7088113736e-05
Milidi&uacute;, Ruy Luiz ==> 3.03507519926e-05
Mart&iacute;nez-G&oacute;mez, Pascual ==> 3.00705737418e-05
Naulleau, Elie ==> 3.94412201306e-05
Mohania, Mukesh ==> 3.37668905863e-05
Khan, Muhammad Aamir ==> 3.12629306543e-05
Tschichold, Cornelia ==> 2.001211833e-05
Torres Martins, Andr&eacute; Filipe ==> 6.45737629843e-05
Pietrobon, Ricardo ==> 1.71311893572e-05
Rocha, Paulo ==> 1.90188712777e-05
Hoffart, Johannes ==> 1.76859074697e-05
Zhao, Yu ==> 1.43249026674e-05
Jung, Sung Young ==> 7.50112998526e-05
Shoen, Jay ==> 2.63114491156e-05
Wang, Meng ==> 0.00013803968906
Kiem, Hoang ==> 2.39052373431e-05
Fukumoto, Jun'ichi ==> 5.20634777853e-05
Ortega, F. Javier ==> 2.3030767122e-05
Gandhe, Sudeep ==> 5.27568862162e-05
Venkataraman, Anand ==> 4.38049794563e-05
Chen, Yi-Rong ==> 2.62380873448e-05
Thrun, Sebastian ==> 2.82123794554e-05
Medero, Julie ==> 2.55689925153e-05
Black, Rolf ==> 5.23926954101e-05
Harbusch, Karin ==> 0.000122100059176
Capp&eacute;, Olivier ==> 2.80585456633e-05
Koh, Judice ==> 1.92058221715e-05
Toney, Dave ==> 1.59092035197e-05
M&iacute;rovsk&yacute;, Ji&#x159;&iacute; ==> 3.49937153486e-05
Rodriguez-Gianolli, Patricia ==> 3.2978342462e-05
Zhou, Zhi-Min ==> 4.52506231166e-05
Trandabat, Diana ==> 4.84387233627e-05
Wu, Fei ==> 5.14393521338e-05
Sini, Margherita ==> 1.38753500912e-05
Sugie, Noboru ==> 3.11452282199e-05
Thibaux, Romain ==> 0.000210415587452
VanderVliet, Hennie ==> 1.43035738505e-05
Baron, Alex ==> 5.37690169265e-05
Zhang, Haiqin ==> 2.29726185925e-05
Anikst, Mark T. ==> 1.51922588739e-05
Kaljurand, Kaarel ==> 7.59466743148e-05
Cao, Yuan ==> 2.40635829126e-05
Heilman, Michael ==> 0.000173836146311
Ranchhod, Elisabete ==> 3.67521854566e-05
Hurum, Sven ==> 2.62489413333e-05
Matwin, Stan ==> 3.08080594065e-05
S&aacute;nchez-Mart&iacute;nez, Felipe ==> 4.02738898537e-05
Ladwig, Gunter ==> 3.40319275272e-05
Delannoy, Jean-Francois ==> 1.89159964982e-05
Wu, Wei ==> 3.6321759804e-05
Ruppenhofer, Josef ==> 0.000208307821401
Deng, Xinyu ==> 2.0342798851e-05
Cassell, Justine ==> 0.000213112067742
Wilson, Stephen ==> 1.50113132693e-05
Fader, Anthony ==> 7.58905448847e-05
Taylor, Lita ==> 2.34292562721e-05
David, Anne ==> 1.67659200301e-05
Gupta, Naman K. ==> 2.11363912328e-05
Guzey, Cemaleddin ==> 2.10715454545e-05
Nakao, Koichi ==> 2.17448984759e-05
Wellner, Benjamin ==> 0.000223979605309
Huettner, Alison K. ==> 3.87935400754e-05
Potthast, Martin ==> 1.43703846433e-05
Song, Qinbao ==> 1.6858888078e-05
Marko, Kornel ==> 3.16855544013e-05
Paliouras, Georgios ==> 4.1162563031e-05
Takagi, Toshihisa ==> 0.00013459611162
Fabbrizio, Giuseppe ==> 1.49333701079e-05
Frank, Robert ==> 3.91745220015e-05
Pei, Bingzhen ==> 2.0072892841e-05
Johnson, Helen L. ==> 2.81100976372e-05
Rosenschein, Stanley J. ==> 5.76625658288e-05
Kim, Hiongun ==> 3.19399425191e-05
Sta, Jean-David ==> 2.53442921656e-05
Feldhaus, Anke ==> 1.67498868756e-05
Hewitt, Jill ==> 1.51921034337e-05
Ji, Paul D. ==> 2.29511647527e-05
Mulloni, Andrea ==> 1.88588171433e-05
Vechtomova, Olga ==> 1.5086705494e-05
Kobdani, Hamidreza ==> 7.64369574761e-05
Zhang, Jianfeng ==> 2.95572695609e-05
Lendvai, Piroska ==> 2.89638410072e-05
Bekki, Daisuke ==> 1.67773376751e-05
Christensen, Janara ==> 5.91918250676e-05
Ranta, Aarne ==> 6.89502526828e-05
Moreno-Schneider, Juli&aacute;n ==> 1.8565569099e-05
Isabelle, Pierre ==> 0.000212320388007
Petruck, Miriam R. L. ==> 2.50824279244e-05
Mehrotra, Rishabh ==> 2.02897266906e-05
Banea, Carmen ==> 0.000237313923475
Hogan, Christopher ==> 3.08376057284e-05
Chen, Cheng-Der ==> 2.97767938145e-05
Cotos, Elena ==> 1.70507361268e-05
Suderman, Keith ==> 5.15108516753e-05
Alsamara, Khalid ==> 2.79324790916e-05
Nastase, Vivi ==> 0.000221024523932
Garnier, Sandrine ==> 1.72838022278e-05
Chotimongkol, Ananlada ==> 6.2124526292e-05
Al-Basoumy, Husein ==> 1.38753500912e-05
Ros&aacute;, Aiala ==> 2.75348641009e-05
Xu, Peng ==> 0.000229027347344
Kumar, Vinay ==> 2.65168833092e-05
Morris, David ==> 2.80943717227e-05
Zbib, Rabih ==> 4.86547509329e-05
Minsky, Marvin ==> 1.3854182544e-05
Gillenwater, Jennifer ==> 7.99089099265e-05
Varile, Giovanni Battista ==> 0.000113970898341
Mahani, Sharifah Aljunied ==> 1.73464755646e-05
Morrill, Glyn ==> 6.32090953849e-05
Labaka, G. ==> 1.4038626027e-05
Theodorakos, Aris ==> 1.90002506024e-05
Nanchen, Alexandre ==> 1.70832856007e-05
Das, Rajib ==> 1.83041411325e-05
Garay-Vitoria, Nestor ==> 2.9966005788e-05
Vitas, Du&scaron;ko ==> 2.38861438884e-05
Viegas, Evelyne ==> 0.000140126768367
Le Nagard, Ronan ==> 3.62386378724e-05
Rieder, Sibylle ==> 4.33177728555e-05
Hasida, Koiti ==> 0.000121519470167
Reeves, Ruth ==> 0.000134357461953
Cer, Daniel ==> 0.000174738939398
Fournier, Rachel ==> 2.27016729316e-05
Zuraw, Kie ==> 2.0087770791e-05
Sima'an, Khalil ==> 0.000419774447417
Cai, Yichao ==> 2.17109787234e-05
Rodd, Jennifer ==> 8.69036238811e-05
Cha, Jeongwon ==> 9.01854859512e-05
Steimanno, Friedrich ==> 1.68750489051e-05
Ivanov, Alexei V. ==> 1.87331030781e-05
Cao, Zhenfu ==> 1.36717276562e-05
Hong, Munpyo ==> 1.56498900296e-05
Krishna, Gopala ==> 2.10165025577e-05
Moore, Robert C. ==> 0.00148235220096
M&uuml;ller, Jens ==> 4.84560664908e-05
Song, Young Chol ==> 1.50073551397e-05
Tsuruoka, Yoshimasa ==> 0.000676427575387
Lopez Garcia, Vanessa ==> 1.67645439712e-05
Dean, Jeffrey ==> 0.000132726189956
Shim, Sang-Ah ==> 1.54560965833e-05
Williams, Claire ==> 2.6545488044e-05
Shei, Wen-Chi ==> 2.19733127491e-05
Schwenk, Holger ==> 0.00027681072457
Liu, Mei-Juan ==> 1.66299929612e-05
Fulford, Heather ==> 1.5089633069e-05
Pereira, Fernando ==> 0.0026933936607
Lund, Bruce A. ==> 8.01912263772e-05
Hulden, Mans ==> 3.94326837883e-05
Van Der Linden, Erik-Jan ==> 7.24663698743e-05
Oberlander, Jon ==> 0.000337514460799
Xu, Ge ==> 2.08447887602e-05
Tanaka, Yasuhito ==> 1.84040743742e-05
Marinelli, Rita ==> 2.38280072462e-05
Reeder, Florence M. ==> 7.42163045562e-05
Veenendaal, Remco van ==> 1.48867079074e-05
Ahlsen, Elisabeth ==> 3.31785445995e-05
Xiang, Bing ==> 0.000217491149082
Akilandeswari, A. ==> 2.14030501288e-05
Hashimoto, Taiichi ==> 4.42022260575e-05
Evans, David Kirk ==> 4.34432244678e-05
Scha, Remko J. H. ==> 0.000176086320926
Yu, Dianhai ==> 4.49340079711e-05
Rappoport, Ari ==> 0.00113665904637
Wentland, Wolodja ==> 4.0367013724e-05
Kim, Jung-Jae ==> 5.25510350431e-05
Bodrumlu, Tugba ==> 6.30773166047e-05
Cai, Jie ==> 6.65982702449e-05
Amig&oacute;, Enrique ==> 0.000207761407194
Amsili, Pascal ==> 1.77884244344e-05
Youd, Nick J. ==> 5.45877695862e-05
Fagerlund, Martin ==> 1.42288412771e-05
Joho, Hideo ==> 1.96692269337e-05
Chen, Zhengyan ==> 1.45280691851e-05
Garnier-Rizet, Martine ==> 1.37973464088e-05
Klett, Eva ==> 2.34982258133e-05
Strassel, Stephanie ==> 3.33198760183e-05
Starner, Thad ==> 2.18385300501e-05
Tymoshenko, Kateryna ==> 3.38750646884e-05
Radzinski, Daniel ==> 2.35045738409e-05
Murakami, Koji ==> 4.77879175022e-05
Bender, Oliver ==> 0.000158231891321
Yeniterzi, Reyyan ==> 4.6877664069e-05
Li, Qi ==> 3.436565486e-05
Nakatsu, Crystal ==> 4.03652177103e-05
Arens, Robert ==> 2.96824336741e-05
Kulkarni, Anagha ==> 4.94558223811e-05
Beckstein, C. ==> 2.41540854646e-05
Zoeppritz, Magdalena ==> 2.82744558133e-05
Dolan, Bill ==> 7.13846113422e-05
Mowatt, David ==> 1.80582094397e-05
Hagert, Goran ==> 1.87198507766e-05
Thamvijit, Dussadee ==> 1.38753500912e-05
Maruyama, Katsuteru ==> 2.1565133222e-05
Hiyakumoto, Laurie ==> 1.61342811329e-05
Tesprasit, Virongrong ==> 1.466080451e-05
Cleland, Alexandra A. ==> 3.89126535194e-05
Rosner, Mike A. ==> 0.000116678562952
Siroux, Jacques ==> 2.13587531285e-05
Goto, Isao ==> 2.35374096645e-05
Kronfeld, Amichai ==> 4.48695205822e-05
Seroussi, Yanir ==> 1.8488986935e-05
Mendes, Sara ==> 2.83967618064e-05
Stock, Roberta ==> 1.89545786143e-05
L&oacute;pez-Lude&ntilde;a, Ver&oacute;nica ==> 3.58021925601e-05
Groscot, H. ==> 2.4543832347e-05
Pylkkonen, Janne ==> 5.41566112548e-05
Dwehus, Dagmar ==> 2.28051948334e-05
Post, Matt ==> 9.77434282793e-05
Aggarwal, R. K. ==> 1.4333305369e-05
Feng, Zhe ==> 3.61023066721e-05
Andersen, &Oslash;istein E. ==> 5.18672452503e-05
Kannan, Ravi ==> 3.06552796974e-05
Granville, Robert Alan ==> 2.58043176836e-05
Shaked, Varda ==> 7.93442558808e-05
Zapirain, Be&ntilde;at ==> 6.44042283949e-05
Klotz, David ==> 1.64425838061e-05
Jyh, Paul Wu Horng ==> 2.8179869012e-05
Nirenburg, Sergei ==> 0.000606794743797
Goto, Jun ==> 1.80503975771e-05
Lita, Lucian Vlad ==> 0.000132753111384
Li, Shasha ==> 3.72902294961e-05
Jin, Wanying ==> 3.33517929327e-05
Li, Yize ==> 1.99562013723e-05
Simma, Aleksandr ==> 5.56126003139e-05
Whitehouse, Kamin ==> 3.76317121648e-05
Tokuhisa, Masato ==> 1.8595677401e-05
Xie, Boyi ==> 2.4404912259e-05
Diewald, Nils ==> 3.66735617532e-05
Lin, Sein ==> 1.71311893572e-05
Channarukul, Songsak ==> 3.26482568059e-05
Critz, James T. ==> 1.47176979892e-05
St&uuml;ber, Torsten ==> 2.12785240626e-05
Nogami, Hiroyasu ==> 2.63328951967e-05
Zhang, Xiaoheng ==> 1.44059532378e-05
Do, Quang ==> 6.14649431853e-05
Kato, Naoki ==> 3.43067012403e-05
Eskin, Eleazar ==> 8.40933282359e-05
Ma, Tengfei ==> 2.85554203069e-05
Morante, Roser ==> 0.000361240000504
Konrad, Karsten ==> 1.4670194303e-05
Popat, Kashyap ==> 1.53296375448e-05
Yamaji, Yusuke ==> 1.64811267652e-05
Cohen, William W. ==> 0.000258041858161
Yang, Jian ==> 1.73945527164e-05
Sharples, Nigel ==> 3.53380544641e-05
Ferrara, Kathleen ==> 3.40652678314e-05
Sugg, Sonia L. ==> 1.50096861892e-05
Lamjiri, Abolfazl ==> 2.39227039902e-05
Jensen, Karen ==> 0.000196878681475
Getoor, Lise ==> 8.02564160276e-05
Chiticariu, Laura ==> 9.60508051819e-05
S&aacute;nchez, Joan-Andreu ==> 8.75575911483e-05
Torre, Doroteo ==> 2.59991034345e-05
Hasegawa-Johnson, Mark ==> 2.58999916248e-05
Kasch, Niels ==> 1.90071617329e-05
Johnson, Rob ==> 2.11278646139e-05
Federmann, Christian ==> 0.000119800830115
Gobeill, Julien ==> 2.46768257228e-05
Hunze, Rudolf ==> 2.9917152364e-05
Jain, Alpa ==> 9.73940215517e-05
De Salvo Braz, Rodrigo ==> 3.9643167013e-05
Kron, Elisabeth ==> 6.23318652628e-05
Rhodes, Katherine ==> 2.01977031766e-05
Diez-Orzas, Pedro ==> 1.59149373399e-05
Maks, Isa ==> 3.13109198872e-05
Lewy, Nicolas ==> 2.001211833e-05
Lorente, Merc&egrave; ==> 1.53778470867e-05
Scholtz, Jean ==> 1.39989939467e-05
Lecouteux, Benjamin ==> 2.91538838875e-05
Turki Khemakhem, Ines ==> 1.80926105165e-05
Issar, Sunil ==> 9.29281149966e-05
Gregory, D. ==> 2.44044051323e-05
Blythe, James ==> 1.59263936754e-05
Lu, Zhimao ==> 3.46084707599e-05
Kozareva, Zornitsa ==> 0.000386501554351
Chen, Huey-Chyun ==> 2.11156301145e-05
Kim, Kyoung-Young ==> 3.85791941315e-05
Brew, Chris ==> 0.000431042756353
Guegan, Marie ==> 1.67122491743e-05
Mc Kevitt, Paul ==> 6.79294559154e-05
Parinee, Muangyunnan ==> 3.14731778207e-05
Contractor, Danish ==> 6.4766087952e-05
Libbus, Bisharah ==> 1.89431024801e-05
Hai, Zhen ==> 1.6858888078e-05
Volkova, Ekaterina P. ==> 2.4754434862e-05
Yongyuth, Panita ==> 1.38753500912e-05
McEntire, Robin ==> 2.07128771111e-05
Tanaka, Hidehiko ==> 5.55720118709e-05
Regneri, Michaela ==> 6.01429744855e-05
Van Berkelt, Brigitte ==> 3.73048066574e-05
Dimitriadis, Alexis ==> 1.85622545705e-05
Montazery, Mortaza ==> 1.83625095203e-05
Gawron, Jean Mark ==> 0.000396326232141
Fawcett, Robin P. ==> 2.89972201274e-05
Schneider, Gerold ==> 0.000156639645151
Betz, Jonathan ==> 4.50276713952e-05
Ilgen, Marc R. ==> 1.71285218838e-05
Lee, Jae-Hee ==> 1.95828867913e-05
Wallis, Michael ==> 5.23360267207e-05
Riley, Michael D. ==> 0.00010712340299
Patel, Pratikkumar ==> 1.53296375448e-05
Marc, Daniel ==> 2.7434321563e-05
Graham, C. Ray ==> 2.25397196541e-05
Foster, George ==> 0.000601266106625
Hunter, Lawrence ==> 0.000188399267644
Plainfosse, Agnes ==> 2.85033630886e-05
Li, Chao ==> 1.43249026674e-05
Romary, Laurent ==> 0.000206363480039
Lyding, Verena ==> 2.29293361148e-05
Olivier, Patrick ==> 1.85025778146e-05
Kirchmann, Heinz ==> 2.24050816913e-05
Chi, Huisheng ==> 3.72191339879e-05
Liu, Xiaohua ==> 0.00026038344121
Beckman, Mary E. ==> 1.79749791728e-05
Eguchi, Koji ==> 3.01135190166e-05
Marcus, Mitchell P. ==> 0.00279411012339
Yang, D. ==> 1.93095118763e-05
Lerman, Kevin ==> 0.000158937219786
Vandekerckhove, Bram ==> 2.44619042815e-05
Lee, Rachel ==> 2.93579944667e-05
Price, Charlotte ==> 2.33513189557e-05
Al-Onaizan, Yaser ==> 0.000323778133725
Barbella, David ==> 1.46965283894e-05
Guo, Jiaqing ==> 1.64348263247e-05
Badran, Ahmed ==> 2.3484527445e-05
Zarri, Gian Piero ==> 1.51709840439e-05
Chen, Berlin ==> 1.9679607995e-05
Solan, Zach ==> 2.19850309506e-05
De Pauw, Guy ==> 2.84064146938e-05
Stein-Sparvieri, Elena ==> 1.8865498452e-05
Bork, Peer ==> 3.08272735877e-05
Thyme-Gobbel, Ann ==> 3.1796704729e-05
Kato, Yoshihide ==> 3.19188947513e-05
Takahashi, Tetsuro ==> 6.20123547192e-05
Sangster, Barbara C. ==> 1.37287589505e-05
Nicholson, Jeremy ==> 8.58395099051e-05
Rao, Uma Maheswara G. ==> 1.49398145843e-05
Ke&szlig;elmeier, Katja ==> 2.61006891641e-05
Leite, Daniel S. ==> 1.70294682802e-05
Hac&egrave;ne, Taouise ==> 1.44426108116e-05
Karra, Vassia ==> 1.66682674598e-05
Durgar El-Kahlout, Ilknur ==> 0.000105829578523
Yoshida, Sho ==> 8.10928085278e-05
Chu, David ==> 4.3978407199e-05
Pauls, Adam ==> 0.000294531454243
Epstein, Mark ==> 2.05616628396e-05
Dong, Yuan ==> 4.63822364411e-05
Emami, Ahmad ==> 3.33299184845e-05
Svore, Krysta ==> 4.46970289102e-05
Gilardoni, Luca ==> 4.47546509101e-05
de Groote, Philippe ==> 6.66024653051e-05
Komatani, Kazunori ==> 0.000169713982824
N&eacute;meth, P&eacute;ter ==> 2.1812523186e-05
Conway, Mike ==> 1.95370243072e-05
Fletcher, Ian ==> 2.00585665087e-05
Choly, Max ==> 2.68974596847e-05
Polzin, T. ==> 2.99114401872e-05
Uchiyama, Kiyoko ==> 1.97475795415e-05
Hsiung, Alain ==> 2.37285912571e-05
Richter, Frank ==> 2.37558625486e-05
Coppola, Bonaventura ==> 0.000219361306923
Park, Jong C. ==> 9.82639431194e-05
Church, Kenneth Ward ==> 0.00273263134014
Khaltar, Badam-Osor ==> 2.58470256952e-05
Winter-Thielen, Jutta ==> 2.2991914092e-05
He, Yanqing ==> 3.94013647117e-05
Kano, Yoshinobu ==> 0.000164937854439
Chang, Yi ==> 5.25144960056e-05
Baron, Don ==> 2.92815773137e-05
Attia, Mohammed ==> 0.000107243847091
Cammisa, Marco ==> 4.52359597278e-05
Prendinger, Helmut ==> 0.000104003844319
Kim, Nari ==> 2.18914868131e-05
Ogawa, Yasuhiro ==> 4.10120297696e-05
Mittrapiyanuruk, Pradit ==> 1.68866111338e-05
Hasegawa, Takaaki ==> 0.000136001011241
Clarke, Charles L. A. ==> 7.23340323022e-05
Gon&ccedil;alves, Anabela ==> 2.30359984381e-05
Daland, Robert ==> 2.86628897093e-05
Osborne, Miles ==> 0.00125977850887
Lee, Gary Geunbae ==> 0.000397846614003
Tait, John Irving ==> 2.02258980867e-05
Sekiguchi, Youichi ==> 1.41296259993e-05
Zabludowski, Margalit ==> 4.19848501126e-05
Xu, Puyang ==> 1.78726146304e-05
Christoudias, C. Mario ==> 3.96594894538e-05
Shirai, Katsuhiko ==> 1.9299782222e-05
Abascal, Julio G. ==> 2.9966005788e-05
Daz, David ==> 2.71095440768e-05
Taylor, Alysa ==> 1.91665834134e-05
Inui, Kentaro ==> 0.000544145556476
Fukubayashi, Yuichiro ==> 2.52154674824e-05
Lufti, Syaheerah ==> 3.04334582577e-05
Reiter, Ehud ==> 0.000716589297877
Oates, Tim ==> 4.26262428342e-05
Novak, Hans-Joachim ==> 2.25411729846e-05
Le Minh, Quang ==> 2.19185005305e-05
Blaheta, Don ==> 8.05374812106e-05
Ranaivo-Malancon, Bali ==> 1.387025612e-05
Pineau, Joelle ==> 2.82123794554e-05
Huang, Jin ==> 3.7662411317e-05
Kim, Sunghwan Mac ==> 1.45009588438e-05
Keim, Greg A. ==> 2.51769387004e-05
Salveter, Sharon C. ==> 2.21891230674e-05
Evert, Stefan ==> 9.2539127074e-05
Rangarajan, Sudarshan ==> 4.78449994976e-05
Clark, Herbert H. ==> 6.49083462722e-05
Ho Bao, Quoc ==> 2.19185005305e-05
Bossard, Aur&eacute;lien ==> 1.95916812649e-05
Huang, Jia ==> 2.45674273382e-05
Lin, Chi-San Althon ==> 5.00377654976e-05
Nishiokayama, Shigeyuki ==> 2.2134369666e-05
Pennington, Christopher A. ==> 2.98525870839e-05
Davulcu, Hasan ==> 2.29672734442e-05
Ferrari, Stephane ==> 1.67722380424e-05
Alum&auml;e, Tanel ==> 3.71394340036e-05
Botley, Simon ==> 1.69178234857e-05
Huang, Minlie ==> 0.000131067857986
Menezo, Jacques ==> 3.9989474282e-05
Vishwanathan, S. V. N. ==> 1.83400742376e-05
Yang, Zooil ==> 3.09091945001e-05
Voorhees, Ellen M. ==> 0.000191556603451
Shimazu, Akira ==> 0.000223837019288
Cochard, Jean-Luc ==> 2.6735836877e-05
Dershowitz, Idan ==> 1.55760613767e-05
Vauthey, Barbara ==> 4.01390554224e-05
Wang, Xinhao ==> 5.08210631599e-05
Schmauks, Dagmar ==> 7.02252288495e-05
Hatvani, Csaba ==> 2.61497013332e-05
Fowler, Andrew ==> 3.34396442332e-05
Rounds, William C. ==> 6.40600468756e-05
Li, Zhongguo ==> 9.0673023977e-05
Cartier, Emmanuel ==> 1.54531258286e-05
Cleuziou, Guillaume ==> 5.10518001067e-05
Russo, Irene ==> 2.18103376581e-05
Yeh, Jui-Feng ==> 5.22507525024e-05
Kim, Seonho ==> 0.000101295218301
Torres, M. Ines ==> 3.15846861972e-05
Mareuil, Philippe Boula de ==> 1.39657020499e-05
Stibler, Kathleen ==> 3.66607089916e-05
Tsai, Wang-Ju ==> 3.89343492617e-05
Morency, Louis-Philippe ==> 7.70749003461e-05
Loos, Berenike ==> 0.000104273052796
Ball, Julian ==> 1.89160978004e-05
Koike, Chimato ==> 2.86404553895e-05
Yoshino, Toshiaki ==> 1.69873282522e-05
Mulkar, Rutu ==> 5.3189126162e-05
Kumaran, A. ==> 0.000156139813767
Mirroshandel, Ghassem ==> 1.71274307383e-05
Fiscus, Jonathan G. ==> 0.000237933391849
Arregi, Olatz ==> 2.70140064434e-05
Garg, Nikhil ==> 4.35767272059e-05
Bhattacharya, Tanmoy ==> 1.52828397281e-05
Reiter, Nils ==> 4.19991543519e-05
Yue, Lihua ==> 3.6488272478e-05
Yang, Tze-I ==> 2.43723525235e-05
Passarotti, Marco ==> 3.70226673443e-05
Ferrari, Giacomo ==> 4.87874111365e-05
Barbu, Eduard ==> 4.47206921723e-05
Creutz, Mathias ==> 0.000174842247576
Gibert, Karina ==> 1.7710664455e-05
Zhang, Kevin ==> 3.14538212923e-05
Prins, Robbert ==> 1.58612307697e-05
Reimann, Dorothee ==> 1.44786029949e-05
Lin, Jimmy ==> 0.000342630490159
Hara, Masami ==> 1.73195421274e-05
Fang, Hui ==> 2.74182599146e-05
Backofen, Rolf ==> 9.30234049839e-05
Braun, Gunter ==> 1.52776039508e-05
Manning, Brian ==> 2.66840147898e-05
Sudan, Nikita ==> 2.45537980502e-05
Blin, Laurent ==> 1.7713143145e-05
Vergne, Jacques ==> 3.00510482151e-05
Smith, Tony C. ==> 5.06878104296e-05
Kolachina, Sudheer ==> 6.60367538451e-05
Schank, Roger C. ==> 7.97191516321e-05
Matthiessen, Christian M. I. M. ==> 6.31523729149e-05
Pervouchine, Vladimir ==> 0.000107238086969
Barr&oacute;n-Cede&ntilde;o, Alberto ==> 1.93946869321e-05
Wu, Zhibiao ==> 9.73201255048e-05
Fletcher, William H. ==> 2.45457167287e-05
Bordag, Stefan ==> 4.11610797067e-05
Kageura, Kyo ==> 0.000159112164595
Doi, Norihisa ==> 2.2951605004e-05
Paul, Patrick ==> 3.65051784821e-05
Artiles, Javier ==> 0.000174013580223
Hanneman, Greg ==> 0.000170580582007
Brown, Gretchen P. ==> 2.66784071799e-05
Gerstenberger, Ciprian ==> 5.26623049061e-05
Yang, Shiquan ==> 5.12533275936e-05
Brennan, Susan E. ==> 0.000209016897908
Chng, Eng Siong ==> 3.85330728075e-05
Maguire, Peter ==> 2.00585665087e-05
Or&#x103;san, Constantin ==> 0.000162670207568
Eagle, Nathan ==> 3.55854992885e-05
Riggle, Jason ==> 1.43594749619e-05
Yang, Gijoo ==> 3.38460975769e-05
Luckhardt, Heinz-Dirk ==> 2.84702060704e-05
Ferrer i Cancho, Ramon ==> 2.91134422729e-05
Dahl, Veronica ==> 6.72786593168e-05
Chen, Dongdong ==> 2.70796670913e-05
Sagi, Jacob S. ==> 3.48764066312e-05
Gungordu, Zelal ==> 1.72778366043e-05
Ramos-Santacruz, Mila ==> 5.75288658532e-05
Zou, Yu ==> 1.86061737059e-05
Fran&ccedil;ois, Thomas ==> 3.58892746716e-05
Hamon, Olivier ==> 4.77654620161e-05
Kolya, Anup Kumar ==> 5.22994776945e-05
Omi, Yoshie ==> 1.68475959803e-05
Li, Bin ==> 3.21397880742e-05
Sherman, Melissa ==> 2.06877657855e-05
Grishman, Ralph ==> 0.00224543372182
Nagata, Masaaki ==> 0.000535971128898
Levin, Lori S. ==> 0.000390021837145
Adda, Gilles ==> 0.000110956206148
Stanley, Yong Wai Keong ==> 2.32905298142e-05
Rebholz-Schuhmann, Dietrich ==> 2.72034184447e-05
Turunen, Ville ==> 2.1747482069e-05
Shinnou, Hiroyuki ==> 8.5704163436e-05
Kravalova, Jana ==> 7.08888828103e-05
Seide, Frank ==> 3.59528192569e-05
Sonderegger, Morgan ==> 6.97602171099e-05
Dungca, Gary ==> 3.36369701695e-05
Turner-Maier, Jason ==> 1.94589234247e-05
Ordan, Noam ==> 3.13629868648e-05
Davel, Marelie ==> 5.88997434121e-05
Brunet-Manquat, Francis ==> 4.40376894326e-05
Murray-Rust, Peter ==> 2.57569539508e-05
Rothenh&auml;usler, Klaus ==> 2.06795204671e-05
Ter Doest, Hugo ==> 1.56188275377e-05
Marrafa, Palmira ==> 3.02706741024e-05
Zillner, Sonja ==> 1.92807822262e-05
Dingare, Shipra ==> 4.14228382501e-05
Favareto, Chiara ==> 1.48571910747e-05
Son, Rob van ==> 1.92058221715e-05
Xu, Hongzhi ==> 2.46752820699e-05
Dingli, Alexiei ==> 2.2465138242e-05
Li, Xiaoge ==> 3.95422350305e-05
Bouaud, Jacques ==> 3.01478905798e-05
Chaudhuri, Bidyut Baran ==> 1.58822721555e-05
Rosengren, Emily ==> 1.98499012225e-05
Itou, Katunobu ==> 2.68925526296e-05
Boitet, Christian ==> 0.000398465459237
Xin, Chengsheng ==> 1.68587787596e-05
Akamine, Susumu ==> 6.54534319746e-05
Jamoussi, Salma ==> 1.80926105165e-05
Dickerson, Jonathan ==> 1.71448953188e-05
Strayer, Susan E. ==> 3.72096289905e-05
Naroua, Harouna ==> 1.97858344134e-05
Yilmaz, Okan ==> 1.53416851846e-05
